==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=-1, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, lr=0.0002, margin=0.3, max_epoch=10, num_instances=4, optim='adam', print_freq=10, reranking=False, resume='', root='/home/prj/data', save_dir='./log/softmax', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, test_distance='global', train_batch=32, unaligned=False, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 0
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    19732
  ------------------------------
  total    |  1501 |    36036
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
=================> Start training
Epoch: [2][260/404]	Time 0.208 (0.211)	Data 0.009 (0.011)	Loss 1.8510 (2.5855)	
Epoch: [2][270/404]	Time 0.209 (0.210)	Data 0.009 (0.011)	Loss 1.6622 (2.5539)	
Epoch: [2][280/404]	Time 0.208 (0.210)	Data 0.009 (0.011)	Loss 1.4006 (2.5263)	
Epoch: [2][290/404]	Time 0.209 (0.210)	Data 0.009 (0.010)	Loss 1.6919 (2.5035)	
Epoch: [2][300/404]	Time 0.208 (0.210)	Data 0.009 (0.010)	Loss 2.3192 (2.4781)	
Epoch: [2][310/404]	Time 0.208 (0.210)	Data 0.009 (0.010)	Loss 1.2679 (2.4544)	
Epoch: [2][320/404]	Time 0.209 (0.210)	Data 0.009 (0.010)	Loss 2.0166 (2.4260)	
Epoch: [2][330/404]	Time 0.207 (0.210)	Data 0.009 (0.010)	Loss 1.3141 (2.3992)	
Epoch: [2][340/404]	Time 0.208 (0.210)	Data 0.009 (0.010)	Loss 1.0874 (2.3705)	
Epoch: [2][350/404]	Time 0.209 (0.210)	Data 0.009 (0.010)	Loss 1.5988 (2.3457)	
Epoch: [2][360/404]	Time 0.208 (0.210)	Data 0.009 (0.010)	Loss 1.3743 (2.3212)	
Epoch: [2][370/404]	Time 0.209 (0.210)	Data 0.009 (0.010)	Loss 1.1534 (2.2956)	
Epoch: [2][380/404]	Time 0.208 (0.210)	Data 0.009 (0.010)	Loss 1.4540 (2.2733)	
Epoch: [2][390/404]	Time 0.207 (0.210)	Data 0.009 (0.010)	Loss 1.6362 (2.2486)	
Epoch: [2][400/404]	Time 0.208 (0.210)	Data 0.009 (0.010)	Loss 1.1553 (2.2266)	
Epoch: [3][10/404]	Time 0.212 (0.243)	Data 0.010 (0.044)	Loss 1.1405 (1.2381)	
Epoch: [3][20/404]	Time 0.210 (0.225)	Data 0.009 (0.027)	Loss 1.1514 (1.2305)	
Epoch: [3][30/404]	Time 0.210 (0.219)	Data 0.009 (0.021)	Loss 1.2449 (1.2264)	
Epoch: [3][40/404]	Time 0.209 (0.217)	Data 0.010 (0.018)	Loss 1.3554 (1.2331)	
Epoch: [3][50/404]	Time 0.208 (0.215)	Data 0.009 (0.016)	Loss 1.4891 (1.2254)	
Epoch: [3][60/404]	Time 0.208 (0.214)	Data 0.009 (0.015)	Loss 1.5194 (1.2115)	
Epoch: [3][70/404]	Time 0.209 (0.213)	Data 0.009 (0.014)	Loss 0.8094 (1.1725)	
Epoch: [3][80/404]	Time 0.208 (0.212)	Data 0.009 (0.014)	Loss 1.4122 (1.1639)	
Epoch: [3][90/404]	Time 0.206 (0.212)	Data 0.009 (0.013)	Loss 0.9504 (1.1459)	
Epoch: [3][100/404]	Time 0.206 (0.211)	Data 0.009 (0.013)	Loss 1.2534 (1.1307)	
Epoch: [3][110/404]	Time 0.207 (0.211)	Data 0.009 (0.012)	Loss 0.7233 (1.1276)	
Epoch: [3][120/404]	Time 0.207 (0.211)	Data 0.009 (0.012)	Loss 1.2630 (1.1172)	
Epoch: [3][130/404]	Time 0.208 (0.210)	Data 0.009 (0.012)	Loss 0.8514 (1.1129)	
Epoch: [3][140/404]	Time 0.209 (0.210)	Data 0.009 (0.012)	Loss 0.8772 (1.1026)	
Epoch: [3][150/404]	Time 0.206 (0.210)	Data 0.009 (0.012)	Loss 0.9061 (1.0908)	
Epoch: [3][160/404]	Time 0.207 (0.210)	Data 0.009 (0.011)	Loss 0.9412 (1.0834)	
Epoch: [3][170/404]	Time 0.208 (0.210)	Data 0.009 (0.011)	Loss 0.9662 (1.0711)	
Epoch: [3][180/404]	Time 0.209 (0.209)	Data 0.009 (0.011)	Loss 0.9249 (1.0660)	
Epoch: [3][190/404]	Time 0.206 (0.209)	Data 0.009 (0.011)	Loss 0.6989 (1.0546)	
Epoch: [3][200/404]	Time 0.207 (0.209)	Data 0.009 (0.011)	Loss 0.7099 (1.0491)	
Epoch: [3][210/404]	Time 0.209 (0.209)	Data 0.009 (0.011)	Loss 0.8742 (1.0431)	
Epoch: [3][220/404]	Time 0.207 (0.209)	Data 0.009 (0.011)	Loss 0.5930 (1.0308)	
Epoch: [3][230/404]	Time 0.208 (0.209)	Data 0.009 (0.011)	Loss 0.7030 (1.0212)	
Epoch: [3][240/404]	Time 0.209 (0.209)	Data 0.009 (0.011)	Loss 0.5979 (1.0127)	
Epoch: [3][250/404]	Time 0.208 (0.209)	Data 0.009 (0.011)	Loss 0.6289 (1.0025)	
Epoch: [3][260/404]	Time 0.208 (0.209)	Data 0.009 (0.011)	Loss 0.9486 (0.9970)	
Epoch: [3][270/404]	Time 0.209 (0.209)	Data 0.009 (0.011)	Loss 0.7025 (0.9882)	
Epoch: [3][280/404]	Time 0.210 (0.209)	Data 0.009 (0.010)	Loss 0.7283 (0.9816)	
Epoch: [3][290/404]	Time 0.209 (0.209)	Data 0.009 (0.010)	Loss 0.6160 (0.9768)	
Epoch: [3][300/404]	Time 0.208 (0.209)	Data 0.009 (0.010)	Loss 1.2226 (0.9721)	
Epoch: [3][310/404]	Time 0.207 (0.208)	Data 0.009 (0.010)	Loss 0.5845 (0.9669)	
Epoch: [3][320/404]	Time 0.207 (0.208)	Data 0.009 (0.010)	Loss 1.0080 (0.9596)	
Epoch: [3][330/404]	Time 0.208 (0.208)	Data 0.009 (0.010)	Loss 0.5719 (0.9516)	
Epoch: [3][340/404]	Time 0.208 (0.208)	Data 0.009 (0.010)	Loss 0.5638 (0.9426)	
Epoch: [3][350/404]	Time 0.208 (0.208)	Data 0.009 (0.010)	Loss 0.9162 (0.9363)	
Epoch: [3][360/404]	Time 0.208 (0.208)	Data 0.009 (0.010)	Loss 0.7158 (0.9278)	
Epoch: [3][370/404]	Time 0.208 (0.208)	Data 0.009 (0.010)	Loss 0.4532 (0.9201)	
Epoch: [3][380/404]	Time 0.208 (0.208)	Data 0.009 (0.010)	Loss 0.6297 (0.9141)	
Epoch: [3][390/404]	Time 0.207 (0.208)	Data 0.009 (0.010)	Loss 0.8338 (0.9060)	
Epoch: [3][400/404]	Time 0.206 (0.208)	Data 0.009 (0.010)	Loss 0.5572 (0.9004)	
Epoch: [4][10/404]	Time 0.209 (0.242)	Data 0.009 (0.044)	Loss 0.6255 (0.5931)	
Epoch: [4][20/404]	Time 0.208 (0.224)	Data 0.009 (0.027)	Loss 0.4538 (0.5681)	
Epoch: [4][30/404]	Time 0.208 (0.218)	Data 0.009 (0.021)	Loss 0.4823 (0.5574)	
Epoch: [4][40/404]	Time 0.207 (0.215)	Data 0.009 (0.018)	Loss 0.6679 (0.5653)	
Epoch: [4][50/404]	Time 0.206 (0.214)	Data 0.009 (0.016)	Loss 0.8812 (0.5665)	
Epoch: [4][60/404]	Time 0.206 (0.212)	Data 0.009 (0.015)	Loss 0.8146 (0.5596)	
Epoch: [4][70/404]	Time 0.206 (0.212)	Data 0.009 (0.014)	Loss 0.3499 (0.5431)	
Epoch: [4][80/404]	Time 0.206 (0.211)	Data 0.009 (0.014)	Loss 0.7631 (0.5429)	
Epoch: [4][90/404]	Time 0.207 (0.210)	Data 0.009 (0.013)	Loss 0.5202 (0.5375)	
Epoch: [4][100/404]	Time 0.207 (0.210)	Data 0.009 (0.013)	Loss 0.6563 (0.5325)	
Epoch: [4][110/404]	Time 0.205 (0.210)	Data 0.009 (0.012)	Loss 0.2770 (0.5322)	
Epoch: [4][120/404]	Time 0.205 (0.209)	Data 0.009 (0.012)	Loss 0.5139 (0.5313)	
Epoch: [4][130/404]	Time 0.206 (0.209)	Data 0.009 (0.012)	Loss 0.3715 (0.5295)	
Epoch: [4][140/404]	Time 0.207 (0.209)	Data 0.009 (0.012)	Loss 0.3287 (0.5269)	
Epoch: [4][150/404]	Time 0.207 (0.209)	Data 0.009 (0.012)	Loss 0.4444 (0.5204)	
Epoch: [4][160/404]	Time 0.206 (0.209)	Data 0.009 (0.011)	Loss 0.4154 (0.5206)	
Epoch: [4][170/404]	Time 0.204 (0.209)	Data 0.009 (0.011)	Loss 0.4532 (0.5150)	
Epoch: [4][180/404]	Time 0.206 (0.208)	Data 0.009 (0.011)	Loss 0.4217 (0.5135)	
Epoch: [4][190/404]	Time 0.206 (0.208)	Data 0.009 (0.011)	Loss 0.5262 (0.5099)	
Epoch: [4][200/404]	Time 0.205 (0.208)	Data 0.009 (0.011)	Loss 0.3436 (0.5101)	
Epoch: [4][210/404]	Time 0.206 (0.208)	Data 0.009 (0.011)	Loss 0.4312 (0.5112)	
Epoch: [4][220/404]	Time 0.209 (0.208)	Data 0.009 (0.011)	Loss 0.2362 (0.5068)	
Epoch: [4][230/404]	Time 0.208 (0.208)	Data 0.009 (0.011)	Loss 0.2948 (0.5022)	
Epoch: [4][240/404]	Time 0.206 (0.208)	Data 0.009 (0.011)	Loss 0.3057 (0.5003)	
Epoch: [4][250/404]	Time 0.206 (0.208)	Data 0.009 (0.011)	Loss 0.3259 (0.4961)	
Epoch: [4][260/404]	Time 0.207 (0.208)	Data 0.009 (0.011)	Loss 0.5243 (0.4946)	
Epoch: [4][270/404]	Time 0.206 (0.208)	Data 0.009 (0.011)	Loss 0.3855 (0.4900)	
Epoch: [4][280/404]	Time 0.205 (0.208)	Data 0.009 (0.010)	Loss 0.4223 (0.4880)	
Epoch: [4][290/404]	Time 0.206 (0.208)	Data 0.009 (0.010)	Loss 0.2860 (0.4870)	
Epoch: [4][300/404]	Time 0.206 (0.208)	Data 0.009 (0.010)	Loss 0.6138 (0.4870)	
Epoch: [4][310/404]	Time 0.207 (0.208)	Data 0.009 (0.010)	Loss 0.3295 (0.4861)	
Epoch: [4][320/404]	Time 0.206 (0.208)	Data 0.009 (0.010)	Loss 0.5192 (0.4845)	
Epoch: [4][330/404]	Time 0.207 (0.208)	Data 0.009 (0.010)	Loss 0.3203 (0.4819)	
Epoch: [4][340/404]	Time 0.206 (0.207)	Data 0.009 (0.010)	Loss 0.3931 (0.4804)	
Epoch: [4][350/404]	Time 0.207 (0.207)	Data 0.009 (0.010)	Loss 0.2945 (0.4781)	
Epoch: [4][360/404]	Time 0.206 (0.207)	Data 0.009 (0.010)	Loss 0.5079 (0.4755)	
Epoch: [4][370/404]	Time 0.206 (0.207)	Data 0.009 (0.010)	Loss 0.1979 (0.4723)	
Epoch: [4][380/404]	Time 0.207 (0.207)	Data 0.009 (0.010)	Loss 0.2928 (0.4692)	
Epoch: [4][390/404]	Time 0.206 (0.207)	Data 0.009 (0.010)	Loss 0.4404 (0.4648)	
Epoch: [4][400/404]	Time 0.207 (0.207)	Data 0.009 (0.010)	Loss 0.2193 (0.4639)	
Epoch: [5][10/404]	Time 0.209 (0.239)	Data 0.010 (0.042)	Loss 0.3731 (0.3688)	
Epoch: [5][20/404]	Time 0.206 (0.223)	Data 0.009 (0.025)	Loss 0.2574 (0.3475)	
Epoch: [5][30/404]	Time 0.207 (0.217)	Data 0.009 (0.020)	Loss 0.3788 (0.3347)	
Epoch: [5][40/404]	Time 0.206 (0.214)	Data 0.009 (0.017)	Loss 0.2638 (0.3349)	
Epoch: [5][50/404]	Time 0.206 (0.213)	Data 0.009 (0.016)	Loss 0.4693 (0.3359)	
Epoch: [5][60/404]	Time 0.207 (0.212)	Data 0.009 (0.015)	Loss 0.6359 (0.3365)	
